# Data format string: '(6E12.4)'
# Data printout from CCMC-simulation: version 1.2
# Data type:  BATSRUS  magnetosphere
# Run name:   Yihua_Zheng_011116_1
# Missing data:          NaN
# Date, time:         2015           3          15  00:00:00
# Output data: field with 61x61=3721 elements
# x           y           z           N           V_x         B_x       
# R_E         R_E         R_E         cm^-3       km/s        nT        
 -1.0027E+02  0.0000E+00 -4.3200E+01  5.7314E+00 -2.9695E+02 -1.1605E+00
 -9.6000E+01  0.0000E+00 -4.3200E+01  5.9347E+00 -2.9670E+02 -1.1219E+00
 -9.1733E+01  0.0000E+00 -4.3200E+01  6.2493E+00 -2.9826E+02 -7.6974E-01
 -8.7467E+01  0.0000E+00 -4.3200E+01  6.5779E+00 -2.9762E+02 -7.5022E-01
 -8.3200E+01  0.0000E+00 -4.3200E+01  6.9230E+00 -2.9688E+02 -7.4385E-01
 -7.8933E+01  0.0000E+00 -4.3200E+01  7.3269E+00 -2.9596E+02 -7.4773E-01
 -7.4667E+01  0.0000E+00 -4.3200E+01  7.7987E+00 -2.9485E+02 -7.6323E-01
 -7.0400E+01  0.0000E+00 -4.3200E+01  8.3475E+00 -2.9356E+02 -7.9227E-01
 -6.6133E+01  0.0000E+00 -4.3200E+01  8.9769E+00 -2.9210E+02 -8.3571E-01
 -6.1867E+01  0.0000E+00 -4.3200E+01  9.6405E+00 -2.9053E+02 -8.6886E-01
 -5.7600E+01  0.0000E+00 -4.3200E+01  1.0633E+01 -2.8842E+02 -9.6593E-01
 -5.3333E+01  0.0000E+00 -4.3200E+01  1.1852E+01 -2.8605E+02 -1.0782E+00
 -4.9067E+01  0.0000E+00 -4.3200E+01  1.3376E+01 -2.8351E+02 -1.2127E+00
 -4.4800E+01  0.0000E+00 -4.3200E+01  1.5374E+01 -2.8073E+02 -1.3750E+00
 -4.0533E+01  0.0000E+00 -4.3200E+01  1.8268E+01 -2.7715E+02 -1.5923E+00
 -3.6267E+01  0.0000E+00 -4.3200E+01  2.2735E+01 -2.7207E+02 -1.9212E+00
 -3.2000E+01  0.0000E+00 -4.3200E+01  2.7743E+01 -2.6817E+02 -2.2730E+00
 -2.7733E+01  0.0000E+00 -4.3200E+01  2.9898E+01 -2.7044E+02 -2.3239E+00
 -2.3467E+01  0.0000E+00 -4.3200E+01  2.5396E+01 -2.8924E+02 -1.4356E+00
 -1.9200E+01  0.0000E+00 -4.3200E+01  1.4820E+01 -3.1344E+02 -1.6112E-01
 -1.4933E+01  0.0000E+00 -4.3200E+01  1.3034E+01 -3.1657E+02  1.5771E-02
 -1.0667E+01  0.0000E+00 -4.3200E+01  1.2987E+01 -3.1661E+02  1.2966E-02
 -6.4000E+00  0.0000E+00 -4.3200E+01  1.2987E+01 -3.1660E+02  1.1594E-02
 -2.1333E+00  0.0000E+00 -4.3200E+01  1.2987E+01 -3.1660E+02  9.4196E-03
  2.1333E+00  0.0000E+00 -4.3200E+01  1.2987E+01 -3.1660E+02  7.0196E-03
  6.4000E+00  0.0000E+00 -4.3200E+01  1.2987E+01 -3.1660E+02  4.7306E-03
  1.0667E+01  0.0000E+00 -4.3200E+01  1.2988E+01 -3.1660E+02  2.8630E-03
  1.4933E+01  0.0000E+00 -4.3200E+01  1.2988E+01 -3.1660E+02  1.9978E-03
  1.9200E+01  0.0000E+00 -4.3200E+01  1.2988E+01 -3.1660E+02  1.8215E-03
